2000, 8192, 1, 0, 0
3000, 8200, 1, 0, 0
4000, 4096, 1, 0, 0
5000, 8192, 1, 0, 0
6000, 4096, 1, 0, 0
7000, 8192, 1, 0, 0
8000, 4096, 1, 0, 0
9000, 8192, 1, 0, 0
10000, 8192, 1, 0, 0
11000, 8192, 1, 0, 0
12000, 8192, 1, 0, 0
13000, 8200, 1, 0, 0
14000, 4096, 1, 0, 0
15000, 4096, 1, 0, 0
16000, 12288, 1, 0, 0
17000, 4096, 1, 0, 0
18000, 8192, 1, 0, 0
19000, 4096, 1, 0, 0
20000, 8192, 1, 0, 0
21000, 8192, 1, 0, 0
22000, 4096, 1, 0, 0
23000, 8192, 1, 0, 0
23999, 8200, 1, 0, 0
25000, 8192, 1, 0, 0
26000, 4096, 1, 0, 0
27000, 8192, 1, 0, 0
28000, 8192, 1, 0, 0
29000, 4096, 1, 0, 0
30000, 8192, 1, 0, 0
31000, 8192, 1, 0, 0
32000, 4096, 1, 0, 0
33000, 8192, 1, 0, 0
34000, 8200, 1, 0, 0
35000, 8192, 1, 0, 0
36000, 8192, 1, 0, 0
37000, 8192, 1, 0, 0
38000, 4096, 1, 0, 0
39000, 8192, 1, 0, 0
40000, 8192, 1, 0, 0
41000, 4096, 1, 0, 0
42000, 8192, 1, 0, 0
43000, 8192, 1, 0, 0
44000, 8192, 1, 0, 0
45000, 8192, 1, 0, 0
46000, 4096, 1, 0, 0
47000, 12300, 1, 0, 0
48000, 4096, 1, 0, 0
49000, 8192, 1, 0, 0
50000, 8192, 1, 0, 0
51000, 12288, 1, 0, 0
52000, 4096, 1, 0, 0
53000, 8192, 1, 0, 0
54000, 8192, 1, 0, 0
55000, 8192, 1, 0, 0
56000, 4096, 1, 0, 0
57000, 8192, 1, 0, 0
58000, 4096, 1, 0, 0
59000, 8192, 1, 0, 0
60000, 8200, 1, 0, 0
61000, 8192, 1, 0, 0
62000, 8192, 1, 0, 0
63000, 8192, 1, 0, 0
64000, 4096, 1, 0, 0
65000, 8192, 1, 0, 0
66000, 8192, 1, 0, 0
67000, 8192, 1, 0, 0
68000, 8192, 1, 0, 0
69000, 8192, 1, 0, 0
70000, 8192, 1, 0, 0
71000, 4096, 1, 0, 0
72000, 8192, 1, 0, 0
73000, 8200, 1, 0, 0
74000, 8192, 1, 0, 0
75000, 8192, 1, 0, 0
76000, 4096, 1, 0, 0
77000, 8192, 1, 0, 0
78000, 8192, 1, 0, 0
79000, 8192, 1, 0, 0
80000, 8192, 1, 0, 0
81000, 8192, 1, 0, 0
82000, 4096, 1, 0, 0
83000, 8192, 1, 0, 0
84000, 8192, 1, 0, 0
85000, 8200, 1, 0, 0
86000, 8192, 1, 0, 0
87000, 4096, 1, 0, 0
88000, 12288, 1, 0, 0
89000, 4096, 1, 0, 0
90000, 8192, 1, 0, 0
91000, 8192, 1, 0, 0
92000, 4096, 1, 0, 0
93000, 8192, 1, 0, 0
93999, 8200, 1, 0, 0
95000, 8192, 1, 0, 0
96000, 12288, 1, 0, 0
97000, 4096, 1, 0, 0
98000, 8192, 1, 0, 0
99000, 8192, 1, 0, 0
100000, 8192, 1, 0, 0
101000, 8192, 1, 0, 0
102000, 4096, 1, 0, 0
102999, 8200, 1, 0, 0
104000, 8192, 1, 0, 0
105000, 4096, 1, 0, 0
106000, 8192, 1, 0, 0
107000, 8192, 1, 0, 0
108000, 8192, 1, 0, 0
109000, 4096, 1, 0, 0
110000, 8192, 1, 0, 0
111000, 8192, 1, 0, 0
112000, 4096, 1, 0, 0
113000, 8192, 1, 0, 0
114000, 8192, 1, 0, 0
114999, 4100, 1, 0, 0
116000, 8192, 1, 0, 0
117000, 8192, 1, 0, 0
118000, 4096, 1, 0, 0
119000, 8192, 1, 0, 0
120000, 8192, 1, 0, 0
121000, 8192, 1, 0, 0
122000, 8192, 1, 0, 0
123000, 8192, 1, 0, 0
124000, 8192, 1, 0, 0
125000, 8192, 1, 0, 0
126000, 4100, 1, 0, 0
127000, 8192, 1, 0, 0
128000, 8192, 1, 0, 0
129000, 8192, 1, 0, 0
130000, 8192, 1, 0, 0
131000, 8192, 1, 0, 0
132000, 4096, 1, 0, 0
133000, 8192, 1, 0, 0
134000, 8192, 1, 0, 0
134999, 8200, 1, 0, 0
136000, 4096, 1, 0, 0
137000, 8192, 1, 0, 0
138000, 4096, 1, 0, 0
139000, 8192, 1, 0, 0
140000, 8192, 1, 0, 0
141000, 8192, 1, 0, 0
142000, 8192, 1, 0, 0
143000, 8192, 1, 0, 0
144000, 4096, 1, 0, 0
145000, 8192, 1, 0, 0
146000, 12288, 1, 0, 0
147000, 4096, 1, 0, 0
147999, 8200, 1, 0, 0
149000, 8192, 1, 0, 0
150000, 4096, 1, 0, 0
151000, 8192, 1, 0, 0
152000, 8192, 1, 0, 0
153000, 8192, 1, 0, 0
154000, 4096, 1, 0, 0
155000, 8192, 1, 0, 0
156000, 4096, 1, 0, 0
157000, 8192, 1, 0, 0
158000, 8192, 1, 0, 0
159000, 8200, 1, 0, 0
160000, 4096, 1, 0, 0
161000, 8192, 1, 0, 0
162000, 8192, 1, 0, 0
163000, 4096, 1, 0, 0
164000, 8192, 1, 0, 0
165000, 4096, 1, 0, 0
166000, 8192, 1, 0, 0
167000, 4096, 1, 0, 0
167999, 12300, 1, 0, 0
169000, 4096, 1, 0, 0
170000, 8192, 1, 0, 0
171000, 8192, 1, 0, 0
172000, 8192, 1, 0, 0
173000, 8192, 1, 0, 0
174000, 8192, 1, 0, 0
175000, 4096, 1, 0, 0
176000, 8192, 1, 0, 0
177000, 4096, 1, 0, 0
178000, 8192, 1, 0, 0
179000, 8192, 1, 0, 0
179999, 8200, 1, 0, 0
181000, 8192, 1, 0, 0
182000, 4096, 1, 0, 0
183000, 8192, 1, 0, 0
184000, 4096, 1, 0, 0
185000, 12288, 1, 0, 0
186000, 4096, 1, 0, 0
187000, 8192, 1, 0, 0
188000, 8192, 1, 0, 0
189000, 4096, 1, 0, 0
190000, 8192, 1, 0, 0
191000, 8192, 1, 0, 0
192000, 8192, 1, 0, 0
193000, 4100, 1, 0, 0
194000, 8192, 1, 0, 0
195000, 4096, 1, 0, 0
196000, 8192, 1, 0, 0
197000, 8192, 1, 0, 0
198000, 8192, 1, 0, 0
199000, 4096, 1, 0, 0
200000, 8192, 1, 0, 0
201000, 8192, 1, 0, 0
202000, 12288, 1, 0, 0
203000, 4096, 1, 0, 0
204000, 8192, 1, 0, 0
205000, 8192, 1, 0, 0
206000, 8192, 1, 0, 0
206999, 4100, 1, 0, 0
208000, 8192, 1, 0, 0
209000, 8192, 1, 0, 0
210000, 8192, 1, 0, 0
211000, 4096, 1, 0, 0
212000, 8192, 1, 0, 0
213000, 8192, 1, 0, 0
214000, 8192, 1, 0, 0
215000, 8192, 1, 0, 0
216000, 8192, 1, 0, 0
217000, 8192, 1, 0, 0
218000, 4096, 1, 0, 0
219000, 8192, 1, 0, 0
220000, 4100, 1, 0, 0
221000, 8192, 1, 0, 0
222000, 8192, 1, 0, 0
223000, 8192, 1, 0, 0
224000, 8192, 1, 0, 0
225000, 4096, 1, 0, 0
226000, 8192, 1, 0, 0
227000, 8192, 1, 0, 0
228000, 4096, 1, 0, 0
229000, 8192, 1, 0, 0
229999, 8200, 1, 0, 0
231000, 8192, 1, 0, 0
232000, 4096, 1, 0, 0
233000, 8192, 1, 0, 0
234000, 4096, 1, 0, 0
235000, 8192, 1, 0, 0
236000, 8192, 1, 0, 0
237000, 8192, 1, 0, 0
238000, 8192, 1, 0, 0
239000, 8192, 1, 0, 0
240000, 8192, 1, 0, 0
241000, 8192, 1, 0, 0
242000, 8192, 1, 0, 0
243000, 4096, 1, 0, 0
244000, 8192, 1, 0, 0
245000, 4100, 1, 0, 0
246000, 12288, 1, 0, 0
247000, 4096, 1, 0, 0
248000, 8192, 1, 0, 0
249000, 4096, 1, 0, 0
250000, 8192, 1, 0, 0
251000, 8192, 1, 0, 0
